"user","window_start_utc","window_end_utc","satellites","point_id","lat","lon","required_interval_hours"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.84286|116.34275|11","-31.84286","116.34275","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.84457|116.33665|12","-31.84457","116.33665","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.85088|116.33907|13","-31.85088","116.33907","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.84919|116.34509|14","-31.84919","116.34509","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.85425|116.32703|15","-31.85425","116.32703","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.85254|116.33312|16","-31.85254","116.33312","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.84554|116.35812|17","-31.84554","116.35812","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.85444|116.34921|18","-31.85444","116.34921","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.85626|116.34285|19","-31.85626","116.34285","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|0658|-31.84624|116.35338|20","-31.84624","116.35338","12"
